id,dut,categories,test,description,inputs,result,messages
1,dc1-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-spine1 (IP: 10.255.0.1),PASS,
2,dc1-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-spine2 (IP: 10.255.0.2),PASS,
3,dc1-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf1b (IP: 10.255.1.97),PASS,
4,dc1-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-spine1 (IP: 10.255.255.0),PASS,
5,dc1-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-spine2 (IP: 10.255.255.2),PASS,
6,dc1-leaf1a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet49/1 - Remote: dc1-spine1 Ethernet1/1,PASS,
7,dc1-leaf1a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet50/1 - Remote: dc1-spine2 Ethernet1/1,PASS,
8,dc1-leaf1a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet55/1 - Remote: dc1-leaf1b Ethernet55/1,PASS,
9,dc1-leaf1a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet56/1 - Remote: dc1-leaf1b Ethernet56/1,PASS,
10,dc1-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc1-leaf1a Loopback0 (IP: 10.255.0.3),PASS,
11,dc1-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc1-leaf1b Loopback0 (IP: 10.255.0.4),PASS,
12,dc1-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc1-leaf2a Loopback0 (IP: 10.255.0.5),PASS,
13,dc1-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc1-leaf2b Loopback0 (IP: 10.255.0.6),PASS,
14,dc1-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc1-spine1 Loopback0 (IP: 10.255.0.1),PASS,
15,dc1-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.3) - Destination: dc1-spine2 Loopback0 (IP: 10.255.0.2),PASS,
16,dc1-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet49/1 (IP: 10.255.255.1) - Destination: dc1-spine1 Ethernet1/1 (IP: 10.255.255.0),PASS,
17,dc1-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet50/1 (IP: 10.255.255.3) - Destination: dc1-spine2 Ethernet1/1 (IP: 10.255.255.2),PASS,
18,dc1-leaf1a,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
19,dc1-leaf1a,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
20,dc1-leaf1a,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
21,dc1-leaf1a,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
22,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - SERVER_server1_eth1 = 'up',PASS,
23,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - SERVER_ixia_eth1 = 'up',PASS,
24,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet49/1 - P2P_dc1-spine1_Ethernet1/1 = 'up',PASS,
25,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet50/1 - P2P_dc1-spine2_Ethernet1/1 = 'up',PASS,
26,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet55/1 - MLAG_dc1-leaf1b_Ethernet55/1 = 'up',PASS,
27,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet56/1 - MLAG_dc1-leaf1b_Ethernet56/1 = 'up',PASS,
28,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
29,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
30,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback10 - DIAG_VRF_Production = 'up',PASS,
31,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback20 - DIAG_VRF_Development = 'up',PASS,
32,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel1 - SERVER_server1 = 'up',PASS,
33,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel551 - MLAG_dc1-leaf1b_Port-Channel551 = 'up',PASS,
34,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan11 - Web = 'up',PASS,
35,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan12 - Database = 'up',PASS,
36,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan21 - Web = 'up',PASS,
37,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan22 - Database = 'up',PASS,
38,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3009 - MLAG_L3_VRF_Production = 'up',PASS,
39,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3019 - MLAG_L3_VRF_Development = 'up',PASS,
40,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4093 - MLAG_L3 = 'up',PASS,
41,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4094 - MLAG = 'up',PASS,
42,dc1-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vxlan1 = 'up',PASS,
43,dc1-leaf1a,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
44,dc1-leaf1a,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
45,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.1 - Peer: dc1-spine1,PASS,
46,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.2 - Peer: dc1-spine2,PASS,
47,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.3 - Peer: dc1-leaf1a,PASS,
48,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.4 - Peer: dc1-leaf1b,PASS,
49,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.5 - Peer: dc1-leaf2a,PASS,
50,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.6 - Peer: dc1-leaf2b,PASS,
51,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.3 - Peer: dc1-leaf1a,PASS,
52,dc1-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.5 - Peer: dc1-leaf2a,PASS,
53,dc1-leaf1a,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
54,dc1-leaf1a,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
55,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-spine1 (IP: 10.255.0.1),PASS,
56,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-spine2 (IP: 10.255.0.2),PASS,
57,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf1a (IP: 10.255.1.96),PASS,
58,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-spine1 (IP: 10.255.255.4),PASS,
59,dc1-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-spine2 (IP: 10.255.255.6),PASS,
60,dc1-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet49/1 - Remote: dc1-spine1 Ethernet2/1,PASS,
61,dc1-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet50/1 - Remote: dc1-spine2 Ethernet2/1,PASS,
62,dc1-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet55/1 - Remote: dc1-leaf1a Ethernet55/1,PASS,
63,dc1-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet56/1 - Remote: dc1-leaf1a Ethernet56/1,PASS,
64,dc1-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.4) - Destination: dc1-leaf1a Loopback0 (IP: 10.255.0.3),PASS,
65,dc1-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.4) - Destination: dc1-leaf1b Loopback0 (IP: 10.255.0.4),PASS,
66,dc1-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.4) - Destination: dc1-leaf2a Loopback0 (IP: 10.255.0.5),PASS,
67,dc1-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.4) - Destination: dc1-leaf2b Loopback0 (IP: 10.255.0.6),PASS,
68,dc1-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.4) - Destination: dc1-spine1 Loopback0 (IP: 10.255.0.1),PASS,
69,dc1-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.4) - Destination: dc1-spine2 Loopback0 (IP: 10.255.0.2),PASS,
70,dc1-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet49/1 (IP: 10.255.255.5) - Destination: dc1-spine1 Ethernet2/1 (IP: 10.255.255.4),PASS,
71,dc1-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet50/1 (IP: 10.255.255.7) - Destination: dc1-spine2 Ethernet2/1 (IP: 10.255.255.6),PASS,
72,dc1-leaf1b,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
73,dc1-leaf1b,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
74,dc1-leaf1b,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
75,dc1-leaf1b,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
76,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - SERVER_server1_eth2 = 'up',PASS,
77,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet49/1 - P2P_dc1-spine1_Ethernet2/1 = 'up',PASS,
78,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet50/1 - P2P_dc1-spine2_Ethernet2/1 = 'up',PASS,
79,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet55/1 - MLAG_dc1-leaf1a_Ethernet55/1 = 'up',PASS,
80,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet56/1 - MLAG_dc1-leaf1a_Ethernet56/1 = 'up',PASS,
81,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
82,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
83,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback10 - DIAG_VRF_Production = 'up',PASS,
84,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback20 - DIAG_VRF_Development = 'up',PASS,
85,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel1 - SERVER_server1 = 'up',PASS,
86,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel551 - MLAG_dc1-leaf1a_Port-Channel551 = 'up',PASS,
87,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan11 - Web = 'up',PASS,
88,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan12 - Database = 'up',PASS,
89,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan21 - Web = 'up',PASS,
90,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan22 - Database = 'up',PASS,
91,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3009 - MLAG_L3_VRF_Production = 'up',PASS,
92,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3019 - MLAG_L3_VRF_Development = 'up',PASS,
93,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4093 - MLAG_L3 = 'up',PASS,
94,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4094 - MLAG = 'up',PASS,
95,dc1-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vxlan1 = 'up',PASS,
96,dc1-leaf1b,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
97,dc1-leaf1b,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
98,dc1-leaf1b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.1 - Peer: dc1-spine1,PASS,
99,dc1-leaf1b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.2 - Peer: dc1-spine2,PASS,
100,dc1-leaf1b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.3 - Peer: dc1-leaf1a,PASS,
101,dc1-leaf1b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.4 - Peer: dc1-leaf1b,PASS,
102,dc1-leaf1b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.5 - Peer: dc1-leaf2a,PASS,
103,dc1-leaf1b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.6 - Peer: dc1-leaf2b,PASS,
104,dc1-leaf1b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.3 - Peer: dc1-leaf1a,PASS,
105,dc1-leaf1b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.5 - Peer: dc1-leaf2a,PASS,
106,dc1-leaf1b,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
107,dc1-leaf1b,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
108,dc1-leaf2a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-spine1 (IP: 10.255.0.1),PASS,
109,dc1-leaf2a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-spine2 (IP: 10.255.0.2),PASS,
110,dc1-leaf2a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf2b (IP: 10.255.1.101),PASS,
111,dc1-leaf2a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-spine1 (IP: 10.255.255.8),PASS,
112,dc1-leaf2a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-spine2 (IP: 10.255.255.10),PASS,
113,dc1-leaf2a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet49/1 - Remote: dc1-spine1 Ethernet3/1,PASS,
114,dc1-leaf2a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet50/1 - Remote: dc1-spine2 Ethernet3/1,PASS,
115,dc1-leaf2a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet55/1 - Remote: dc1-leaf2b Ethernet55/1,PASS,
116,dc1-leaf2a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet56/1 - Remote: dc1-leaf2b Ethernet56/1,PASS,
117,dc1-leaf2a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.5) - Destination: dc1-leaf1a Loopback0 (IP: 10.255.0.3),PASS,
118,dc1-leaf2a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.5) - Destination: dc1-leaf1b Loopback0 (IP: 10.255.0.4),PASS,
119,dc1-leaf2a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.5) - Destination: dc1-leaf2a Loopback0 (IP: 10.255.0.5),PASS,
120,dc1-leaf2a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.5) - Destination: dc1-leaf2b Loopback0 (IP: 10.255.0.6),PASS,
121,dc1-leaf2a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.5) - Destination: dc1-spine1 Loopback0 (IP: 10.255.0.1),PASS,
122,dc1-leaf2a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.5) - Destination: dc1-spine2 Loopback0 (IP: 10.255.0.2),PASS,
123,dc1-leaf2a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet49/1 (IP: 10.255.255.9) - Destination: dc1-spine1 Ethernet3/1 (IP: 10.255.255.8),PASS,
124,dc1-leaf2a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet50/1 (IP: 10.255.255.11) - Destination: dc1-spine2 Ethernet3/1 (IP: 10.255.255.10),PASS,
125,dc1-leaf2a,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab.
126,dc1-leaf2a,Hardware,VerifyEnvironmentPower,Verifies the power supplies status.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab.
127,dc1-leaf2a,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab.
128,dc1-leaf2a,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab.
129,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - SERVER_server2_eth1 = 'up',PASS,
130,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - SERVER_ixia_eth2 = 'up',PASS,
131,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - SERVER_server3_Ethernet1 = 'up',PASS,
132,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet49/1 - P2P_dc1-spine1_Ethernet3/1 = 'up',PASS,
133,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet50/1 - P2P_dc1-spine2_Ethernet3/1 = 'up',PASS,
